symbol,side,setup,result,pnl_pips,body_size,upper_wick,lower_wick,adx,z_score,atr,rsi14,bollinger_bandwidth,dist_ema9,dist_sma21,dist_sma200,dist_vwap,hour,day_of_week
JP225,BUY,Russian,1,45.01000000000204,0.30348224247767014,0.6069644849553403,0.18208934548660208,27.003283456708917,0.5246465383034709,41.18857135741553,59.126828808986055,0.006279929411434953,-0.0002005399879093347,0.0008242616444593188,0.0009066479731381742,0.0011030566901283167,17,1
JP225,BUY,Russian,0,-17.510000000002037,0.7241750807897823,0.14483501615795646,0.14483501615795646,15.954919544987266,1.4989928546903863,17.26101923635311,50.12361524857954,0.0010901338843896807,0.00017761591217451523,0.00040409153430225124,0.0018066754006531441,0.00034570317793783666,2,2
JP225,BUY,Russian,0,-45.01000000000204,1.1075684687160916,0.0,0.4259878725831122,22.58929641210134,0.5617487407933334,29.343558360481712,55.344134050173594,0.003130457986804699,-0.0001970590365663274,0.0005109832054961422,0.0007673398117784904,0.001110219913643931,8,3
JP225,BUY,Russian,0,-17.510000000002037,0.3509068673150446,0.08772671682876115,0.1754534336575223,21.529383796313397,0.24957466591337402,28.49758990616159,53.35685937882532,0.0029233179594447545,-0.00031653232647438107,0.00018607534487171963,0.0005986500108318701,0.0008986510748254486,8,3
JP225,BUY,Russian,0,-22.510000000002037,0.5818493265721936,0.08312133236745621,0.08312133236745621,16.007552929548652,1.247753130774994,30.076515002769657,59.34372977107591,0.002108602496391135,0.0006767481302303598,0.0006273884504910645,0.001710536433375077,0.0015869679216266204,9,3
JP225,BUY,Russian,0,-27.510000000002037,0.6939376793318561,0.0,0.3965358167610607,16.450924612861012,0.6725486426119973,25.218402921786176,57.20020437572091,0.002388621431170687,0.00045199896682726647,0.000394963601102481,0.00022368576308102285,-0.00014068009979039257,15,3
JP225,BUY,Russian,0,-55.01000000000204,1.3713327890988294,0.45711092969960976,0.1828443718798439,17.904358902265958,1.8654930734645017,27.34565985594431,64.14061715437306,0.002623652782526439,0.0010514424652732664,0.0011658257240299327,0.0010797415702385041,0.0007181870637697014,15,3
JP225,BUY,Russian,0,-45.01000000000204,0.6991373027984399,0.17478432569960997,0.6991373027984399,19.253976456713406,0.8405567924435677,28.606684151948286,57.22240959215948,0.002653217641544356,0.0003634713199871772,0.0005339233070033913,0.00048091570111354336,0.00011934850617252127,15,3
JP225,BUY,Russian,0,-35.01000000000204,0.6362395110528354,0.2544958044211342,0.0,11.84322624460754,0.39321505898163917,39.29337861873831,51.70633959076866,0.0022584655755282877,0.0001640626916751484,0.0002180102639231427,1.3930856515533375e-05,-0.00011126391504379912,18,3
JP225,BUY,Russian,1,27.510000000002037,0.5201425943751141,0.13003564859377853,0.06501782429688927,11.673908609059744,1.4223410097424585,38.45099443168557,55.405053298901635,0.0023783238755494354,0.0006088585346721828,0.000805682468975119,0.0005957008705988342,0.00048334576641706023,18,3
JP225,BUY,Russian,0,-12.510000000002037,0.38645746312565593,0.25763830875043725,0.0,19.417120658859588,0.11792895272892369,19.407051786088523,52.17998023067142,0.0021051317274684506,-0.0001659552637659129,8.016021952915563e-05,0.0012912229908184404,-0.0002636357643586078,1,4
JP225,BUY,Russian,0,-30.010000000002037,0.5272647558324657,0.3766176827374755,0.0,23.238961453872612,0.7871904213397927,33.190156949463336,63.59115528514896,0.0036227865349721987,0.00099186852755466,0.0006799301682486659,0.0013881345808162294,0.0011176999603313724,18,0
JP225,BUY,Russian,1,10.010000000002037,0.43294467515502355,0.1443148917183412,0.0,19.401452889395703,0.8308168222880409,17.323229572726564,59.39991927011119,0.0016944329499897096,0.00010855670609729373,0.0003348972608497858,0.003616181363802926,0.00015383129865791545,1,1
JP225,BUY,Russian,0,-15.010000000002037,0.7031473901312381,0.0,0.35157369506561903,16.5282568546031,0.7517048354199101,14.221769347865406,58.873108278873126,0.0009204627067852561,1.9041056519335994e-05,0.00022612062548360128,0.003622542255880258,0.00015627212950995628,2,1
JP225,BUY,Russian,1,10.010000000002037,0.5387848051386457,0.0,0.1795949350462152,16.115292982730157,1.3031732936775506,13.920214394446448,61.23767630945317,0.000829889159490891,0.00012170629441116972,0.0002981795605366904,0.003744634670658983,0.0002744700342801834,2,1
JP225,BUY,Russian,1,25.010000000002037,1.3594688822415995,0.33986722056039986,0.0,16.91176929786929,2.6244174222211623,14.711627651985989,67.3099041403984,0.0009619617630757971,0.0004167433502870753,0.0006396164578037632,0.0041301818398545975,0.0005903373601177386,2,1
JP225,BUY,Russian,0,-32.51000000000204,0.22699304926324015,0.6809791477897205,0.5674826231581004,28.44962345625236,0.7864274575494763,22.02710618773873,59.01994547792939,0.0024367374460819795,-7.05239079152917e-07,0.000455892894347112,0.0008376570490575385,0.0002555286299778457,16,1
JP225,BUY,Russian,0,-35.01000000000204,0.3267441176444232,0.9802323529332696,0.21782941176294882,27.855152508142993,0.5209396240022528,22.95374146004311,57.12605042385001,0.002396083918464536,-0.0001068935079259654,0.0003039228230540326,0.0006932365302930248,0.00011474964983748548,16,1
JP225,BUY,Russian,0,-32.51000000000204,0.822778034946424,0.16455560698928481,0.08227780349464241,15.840709413330867,1.2861235865598226,30.38486558726364,56.292964647725434,0.002753010132025676,0.0009195603861184393,0.000845968297594579,0.00034016389981181706,4.110032793284065e-05,18,1
JP225,BUY,Russian,1,22.510000000002037,0.2584848082302444,0.2584848082302444,0.2584848082302444,13.22164396326136,0.69190799034515,29.015244846882464,53.88548238777003,0.002653543455377334,0.0003339585878424315,0.0004561961935599255,8.246466123266636e-05,-0.00021748837458419404,19,1
JP225,BUY,Russian,0,-67.51000000000204,0.614759517920464,0.7513727441250115,0.47814629171591644,24.850467424828114,0.509367618369134,36.59967734393173,52.46113743948563,0.003730992529998582,-0.000316686088678062,0.0004660377021837994,0.0003367419496767111,4.0504728759601334e-05,3,2
JP225,BUY,Russian,0,-35.01000000000204,0.4329322630014408,0.2164661315007204,0.1082330657503602,34.19190029302868,0.14928296999766555,46.196603277712846,53.26385808754761,0.007714940257716937,-0.0005640207008895306,0.0002837669186512699,0.0001757069054439663,0.0003160956719886947,17,3
