symbol,side,setup,result,result_raw,pnl_pips,fibonacci_fib_1_0,fibonacci_fib_1_618,fibonacci_swing_high,fibonacci_swing_low,liquidity_vwap_dist,microstructure_body_size,microstructure_lower_wick,microstructure_upper_wick,momentum_rsi14,momentum_rsi9,momentum_sar,ohlcv_close,ohlcv_high,ohlcv_low,ohlcv_open,ohlcv_real_volume,ohlcv_tick_volume,regime_z_score,relative_distances_dist_ema9,relative_distances_dist_sma200,relative_distances_dist_sma21,relative_distances_dist_vwap,time_day_of_week,time_hour,time_minute,trend_adx,trend_ema9,trend_sma200,trend_sma21,volatility_atr,volatility_bollinger_bandwidth
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-34.21710392516252,36.0,30.0,9.5,28.381178162914523,24.93128891184668,25239.1712224,25173.95,25219.45,25143.95,25209.95,0.0,279.0,-3.2209501819359128,-0.0015291883801141638,-0.0065431383571381025,-0.002059673912335614,-0.001357381668571793,4,4,30,20.53944431907252,25212.504669173675,25339.7515,25225.907142857144,19.259311892809826,0.0026862312994050774
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-29.299717343026714,31.0,35.0,9.5,29.522899090727677,26.18508235716891,25239.1712224,25178.95,25219.45,25143.95,25209.95,0.0,291.0,-3.0682413671361597,-0.0013704825896703454,-0.00634680025690042,-0.0018708858467986241,-0.0011623066921170968,4,4,30,20.53944431907252,25213.504669173675,25339.7765,25226.14523809524,19.259311892809826,0.0025615950818409553
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-27.692623772301886,29.5,36.5,9.5,29.883546598233906,26.586187829345675,25239.1712224,25180.45,25219.45,25143.95,25209.95,0.0,303.0,-3.018018749016282,-0.0013228733073534546,-0.006287898902374185,-0.0018142501220621571,-0.0010985586754887135,4,4,30,20.53944431907252,25213.804669173674,25339.784,25226.216666666667,19.259311892809826,0.0025254328285450943
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-26.12562263399377,28.0,38.0,9.5,30.253114310292872,26.99977280385272,25239.1712224,25181.95,25219.45,25143.95,25209.95,0.0,313.0,-2.965608179521632,-0.001275265157956799,-0.006228997582714863,-0.0017576147180554552,-0.001036398931243126,4,4,30,20.53944431907252,25214.104669173674,25339.7915,25226.2880952381,19.259311892809826,0.002489881916676595
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-31.133967499008577,33.5,32.5,9.5,28.940782712394764,25.542808975675143,25239.1712224,25176.45,25219.45,25143.95,25209.95,0.0,322.0,-3.1473183792788704,-0.001449833911242143,-0.006444969258592878,-0.0019652794340992933,-0.001235103195099961,4,4,30,20.53944431907252,25213.004669173675,25339.764,25226.026190476194,19.259311892809826,0.0026231552290458078
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-36.57821118991342,39.5,26.5,9.5,27.633130806452698,24.122757239196588,25239.1712224,25170.45,25219.45,25143.95,25209.95,0.0,332.0,-3.315603191505556,-0.001640289924355866,-0.006680575257814452,-0.002191827678662817,-0.0014511116059954898,4,4,30,20.53944431907252,25211.804669173674,25339.734,25225.74047619048,19.259311892809826,0.002776887558108629
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-37.374705882357375,40.5,25.5,9.5,27.426591617113203,23.901291965014963,25239.1712224,25169.45,25219.45,25143.95,25209.95,0.0,340.0,-3.340961055767144,-0.0016720343558780178,-0.0067198429785890225,-0.0022295862183595735,-0.0014827216961458647,4,4,30,20.53944431907252,25211.604669173674,25339.729,25225.692857142858,19.259311892809826,0.0028032604328150617
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-33.42780696633781,36.5,29.5,9.5,28.271844197814005,24.812481849562843,25239.1712224,25173.45,25219.45,25143.95,25209.95,0.0,353.0,-3.2350566681143076,-0.001545059651580986,-0.0065627721884695496,-0.0020785529148963124,-0.0013261383350340787,4,4,30,20.53944431907252,25212.404669173673,25339.749,25225.883333333335,19.259311892809826,0.002699019124086312
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-33.795520651543484,37.0,29.0,9.5,28.16334938336624,24.69480173849412,25239.1712224,25172.95,25219.45,25143.95,25209.95,0.0,359.0,-3.2489634661205997,-0.0015609310489489493,-0.006582406023674971,-0.0020974319530950476,-0.0013407332026998595,4,4,30,20.53944431907252,25212.304669173674,25339.746499999997,25225.859523809526,19.259311892809826,0.002711862596580435
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-23.89525462963502,26.5,39.5,9.5,30.631937317567917,27.42642889185099,25239.1712224,25183.45,25219.45,25143.95,25209.95,0.0,368.0,-2.910922108031427,-0.0012276581414399402,-0.0061700962979224245,-0.0017009796347755056,-0.0009479480837136693,4,4,30,20.53944431907252,25214.404669173673,25339.799,25226.359523809526,19.259311892809826,0.0024549688847038476
