symbol,side,setup,result,pnl_pips,body_size,upper_wick,lower_wick,adx,z_score,atr,rsi14,bollinger_bandwidth,dist_ema9,dist_sma21,dist_sma200,dist_vwap,hour,day_of_week,dir_lag1,dir_lag2,dir_lag3,rolling_vol_10
HK50,BUY,Russian,0,-39.365493840628915,2.4689405843190317,0.17225166867342084,0.40192056023798195,20.52133406340412,-2.91931822698197,17.41637699712405,28.34501405204354,0.003082974062745658,-0.0018795848836630435,-0.002243328405656412,0.0013327850885272324,0.003308180973873556,16,1,-1.0,-1.0,1.0,0.0005667330282681675
HK50,BUY,Russian,0,-49.81851272949643,0.6426614730235805,0.42844098201572034,0.8033268412794756,22.61999308103021,-2.775906153850718,18.672350068758046,25.91309188856428,0.0039020245179693853,-0.0018492591304179855,-0.0025959748403041674,0.0009079512695155581,0.002849688853588062,17,1,-1.0,-1.0,-1.0,0.0005626624215098586
HK50,SELL,Russian,0,-88.30354346807508,3.7033628465246915,0.16871812512640963,0.0,24.409596827239294,4.055847532133674,29.635227372600436,78.01115996421385,0.007269740894609459,0.005531652728606182,0.007011501744299675,-0.0011680683878599247,0.0014293219078548387,4,0,1.0,-1.0,-1.0,0.0022660849250442693
HK50,SELL,Russian,0,-125.04352926111824,0.6203748384671532,0.01676688752613928,0.16766887526139276,28.271339831667216,2.33866275196882,29.820680744742216,71.14011056061858,0.010287922831330074,0.003219343408465665,0.0057428509439755564,-0.0017239553226323049,0.0004988670553009702,4,0,-1.0,1.0,1.0,0.002356752153914727
HK50,BUY,Russian,0,-47.9916659399787,0.4121728614667112,0.1030432153666778,0.7470633114084142,34.565118442141866,-2.3066477226393456,19.40933221933175,29.33703548860815,0.003880458373035729,-0.0015593608463345815,-0.00218709374035861,0.005609753861480713,0.002995074171763746,16,0,-1.0,-1.0,0.0,0.0006840526598245764
HK50,BUY,Russian,1,75.52023989000736,0.2945072250126615,0.2454226875105513,0.09816907500422052,23.451707235362882,-2.171755743311354,10.186507308508384,29.611404930266986,0.0029618451584048845,-0.0007564263408890849,-0.0015345808468973416,0.001009709635731274,0.0026312420349989983,14,2,-1.0,1.0,1.0,0.00031207603414472177
HK50,BUY,Russian,1,132.96018543324317,0.9975511484729482,2.1637024910540004,0.028100032351350654,24.150592024239906,-3.97966754964191,17.793573820421848,25.348605237967178,0.003554930525790303,-0.0026880012983347473,-0.0033766158013953185,0.008942769855309157,-0.0007245576299492012,4,0,-1.0,-1.0,0.0,0.0010210702904493581
HK50,BUY,Russian,0,-42.78621888352791,1.1214632866744543,0.31151757963179283,0.1869105477790757,17.237839687196658,-3.4321316207142765,16.050458551680755,26.33047905988704,0.003401863786887905,-0.0021092794730085246,-0.0027988204632867146,0.0021120065580365476,-0.0008406649334796205,4,4,-1.0,1.0,1.0,0.000857103102151493
HK50,BUY,Russian,1,135.75403182400623,0.8119346862271004,0.15614128581290393,0.0,20.442364565916424,-2.9492224110634306,16.01114008370356,23.92745715370455,0.0044993400039170664,-0.0021341062200404735,-0.0031742139844337124,0.0015367156390951897,-0.0011378386156012119,4,4,-1.0,-1.0,1.0,0.0008558917277877317
HK50,SELL,Russian,0,-22.784112653163902,0.2007572771761192,1.003786385880596,2.2752491413293505,26.13492597134999,3.07022293928954,7.471709225683952,83.30621905077582,0.0017870838380199658,0.0008876562767709208,0.0013399699977449761,-6.662697767930664e-05,0.00035654295765283567,4,1,1.0,1.0,0.0,0.00031414588214654174
HK50,SELL,Russian,0,-90.74050624547453,1.7581955791468038,0.0,0.18704208288795787,42.073127715339616,2.833038016232715,26.73195209762022,73.68773831062751,0.007177283103874816,0.0030288844518271026,0.004835259825770563,-0.0020050045573640957,-0.0033953437174704644,17,1,1.0,1.0,1.0,0.0007984507378822899
HK50,BUY,Russian,1,95.81638501335692,0.7686932414976455,0.2660861220568773,0.20695587271090457,20.185287032411683,-2.5937591638599367,16.911817742370275,27.89002178215054,0.0033422577093587774,-0.0012351444241310784,-0.0020633117781255934,0.002470156767568513,0.0011562576016302534,17,0,-1.0,0.0,-1.0,0.000487244277582026
HK50,BUY,Russian,1,107.04136104004283,0.45385066879922237,0.0,0.24205369002625193,21.021605674937895,-2.3786855542159637,16.525259332200967,26.1169087310722,0.003932465676028903,-0.001207359382295976,-0.0022327749226177967,0.002173623723892263,0.000876193107784643,17,0,-1.0,-1.0,0.0,0.0003436311180387367
HK50,BUY,Russian,1,55.0753634841094,1.1241995111742313,0.10219995556129377,0.5620997555871157,30.488200629091864,-2.03385101286077,9.784740066743536,27.596035712240976,0.0021136461347124554,-0.0005779052529931449,-0.0011194858085872281,0.003836045834698155,0.0005978546470916042,16,1,-1.0,1.0,-1.0,0.0002351373232165629
HK50,BUY,Russian,0,-51.068909837747924,1.3661921788087708,0.0,0.34393649256724296,26.2390776614515,-3.125976790105734,26.16762162346123,29.715561699785297,0.0038987565024192006,-0.0019835876567151074,-0.0028996531867556802,0.00344859526368077,-0.0025521454228412425,12,2,1.0,-1.0,-1.0,0.0008382046711060116
HK50,BUY,Russian,1,79.8996477252731,3.9178080822089147,0.7535603833796611,0.1647126521048311,14.475693594527929,-3.589113306160152,16.999301293608077,27.435535841394042,0.0021985524300190285,-0.0018140039365768985,-0.0018842631866532026,0.004604852403852352,0.0009771220868620089,16,2,1.0,-1.0,1.0,0.00081748383216107
HK50,BUY,Russian,1,83.15402440169055,0.6019316379665532,0.18399657055745,0.13405464426324673,22.139773982621477,-2.651763583139648,19.0220936694425,28.569756502838942,0.0027247789041685024,-0.0012597684470473751,-0.001932670944791224,0.0021905632005311706,0.0020904688250699697,21,0,-1.0,-1.0,-1.0,0.0003718316246379213
HK50,BUY,Russian,1,200.5034724644065,1.8511634274213231,0.08677328566037452,0.2603198569811236,23.01797055519703,-3.726033318608229,34.57285242997276,26.23625292618499,0.005605234288616205,-0.003870953960770311,-0.005036193391380067,0.0008598782884991777,-0.0038725716439335354,4,2,-1.0,-1.0,1.0,0.0013171952809153727
HK50,SELL,Russian,0,-59.50268703538313,2.1722788642068784,0.19898737687391252,0.45767096680997466,20.084599040180063,3.4617387752131994,30.1526664367352,71.03849059168905,0.004717635004569905,0.002839488951576375,0.003893172582656648,-0.012100503929466655,-0.0035105200240027556,14,4,1.0,1.0,1.0,0.0009819249077952703
HK50,SELL,Russian,0,-138.01996766751836,4.1594419760055175,0.3369380371624581,0.39503080219046816,23.782959228887005,4.035292139369006,43.03461883411126,84.26224734705178,0.01093699381713562,0.007942333792980288,0.010496179695486831,-0.005019009205499441,0.003529746086997344,14,4,1.0,1.0,1.0,0.0021858618400792933
HK50,SELL,Russian,0,-176.79197380323603,0.4252667356173751,0.47978811197857707,0.8941505723237118,27.273582851615174,2.8047748776035792,45.85357463167474,80.61830500118145,0.014002101899872587,0.005823695171547097,0.00936109079648941,-0.005582874198223615,0.0028295722726132586,14,4,1.0,1.0,1.0,0.002257052178891255
HK50,SELL,Russian,0,-200.8534419897369,0.282470478345493,0.11508056525186751,1.129881913381972,29.65584418378787,2.19256191847404,47.79260501512654,77.76488256971687,0.01589923784228732,0.004244025717979979,0.008372753895058106,-0.0060091955747914325,0.002294550143236885,14,4,-1.0,1.0,1.0,0.0023176078389093853
HK50,SELL,Russian,0,-83.86442380251901,2.5013220078797787,0.1754753959609506,0.47537879996686927,24.997665971068646,2.6848351758679994,31.34342549780564,71.3628295550721,0.006487044004530405,0.002781336049592508,0.0043828570702328365,-0.0017803260302352993,-0.001147868538538347,18,4,-1.0,1.0,-1.0,0.0010828484982069715
HK50,BUY,Russian,0,-22.423419976032164,2.7837210411450473,0.0,0.59528803802923,15.701187736899744,-3.852632294935457,11.675020420376443,26.154383616951435,0.001714578950963671,-0.0012468279074216329,-0.0015968825153971666,0.003664212110997189,0.0017056642528503279,15,0,-1.0,-1.0,1.0,0.00045553136117563
